Date,Close,Open,High,Low,DAXClose,SPClose,DFFR,EURINF,USAINF,GERLTINT,EURLTINT,USACPI,USAUNEMP
4/11/2016,1.1408,1.1407,1.1448,1.1373,9682.990234,2041.99,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/12/2016,1.1386,1.1408,1.1466,1.1347,9761.469727,2061.72,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/13/2016,1.1274,1.1385,1.1393,1.1266,10026.09961,2082.42,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/14/2016,1.1268,1.1274,1.1296,1.1234,10093.65039,2082.78,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/15/2016,1.1283,1.1271,1.132,1.1246,10051.57031,2080.73,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/18/2016,1.1314,1.1297,1.1334,1.1274,10120.30957,2094.34,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/19/2016,1.1358,1.1314,1.1387,1.1302,10349.58984,2100.8,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/20/2016,1.1297,1.1356,1.1388,1.1288,10421.29004,2102.4,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/21/2016,1.1288,1.1297,1.1396,1.1272,10435.73047,2091.48,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/22/2016,1.1233,1.129,1.1311,1.122,10373.49023,2091.58,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/25/2016,1.1266,1.1231,1.128,1.1216,10294.34961,2087.79,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/26/2016,1.1298,1.1265,1.1338,1.1254,10259.58984,2091.7,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/27/2016,1.1321,1.1298,1.1364,1.1274,10299.83008,2095.15,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
4/28/2016,1.1353,1.132,1.137,1.1296,10321.15039,2075.81,0.37,-0.3,1.1,0.13,1.13,2.1,5.1
